OID_,Field1,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,lat,long,stationame,station_id_min_2020,monthtotal_sum_2019,monthtotal_sum_2020,F_2019_2020__2019,F2019_2020
126,125,30022,N,35th/Archer (Loop-bound),35th/Archer,35th/Archer (Orange Line),40120,True,False,False,False,False,False,False,False,False,True,"(41.829353, -87.680622)",41.829352999999998,-87.680622000000000,35th/Archer,40120,896292,326259,0.635990279953408,570033
127,126,30164,S,South Blvd (Howard-Loop-bound),South Boulevard,South Boulevard (Purple Line),40840,False,False,False,False,False,True,True,False,False,False,"(42.027612, -87.678329)",42.027611999999998,-87.678329000000005,South Boulevard,40840,232812,90922,0.609461711595622,141890
128,127,30052,N,Main (Linden-bound),Main,Main (Purple Line),40270,False,False,False,False,False,True,True,False,False,False,"(42.033456, -87.679538)",42.033456000000001,-87.679537999999994,Main,40270,358222,126017,0.648215352490913,232205
129,128,30106,S,Wilson (95th-bound),Wilson,Wilson (Red & Purple lines),40540,True,True,False,False,False,False,False,False,False,False,"(41.964273, -87.657588)",41.964272999999999,-87.657588000000004,Wilson,40540,2043387,857136,0.580531734810880,1186251
130,129,30110,S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),40560,True,True,False,False,False,False,False,False,False,False,"(41.878153, -87.627596)",41.878152999999998,-87.627595999999997,Jackson/State,40560,2601587,769130,0.704361222592210,1832457
131,130,30273,N,Addison (Howard-bound),Addison,Addison (Red Line),41420,True,True,False,False,False,False,False,False,False,False,"(41.947428, -87.653626)",41.947428000000002,-87.653626000000003,Addison-North Main,41420,2597371,639529,0.753778339713503,1957842
132,131,30229,N,Argyle (Howard-bound),Argyle,Argyle (Red Line),41200,False,True,False,False,False,False,False,False,False,False,"(41.973453, -87.65853)",41.973452999999999,-87.658529999999999,Argyle,41200,970130,367329,0.621361054704009,602801
133,132,30165,E,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",40850,True,False,False,False,True,False,False,False,False,False,"(41.876862, -87.628196)",41.876862000000003,-87.628196000000003,Library,40850,1077009,376074,0.650816288443272,700935
134,133,30016,N,Sheridan (Howard-bound),Sheridan,Sheridan (Red Line),40080,False,True,False,False,False,False,False,False,False,False,"(41.953775, -87.654929)",41.953775000000000,-87.654928999999996,Sheridan,40080,1503864,496168,0.670071229845252,1007696
135,134,30001,E,Austin (O'Hare-bound),Austin,Austin (Blue Line),40010,False,False,True,False,False,False,False,False,False,False,"(41.870851, -87.776812)",41.870851000000002,-87.776812000000007,Austin-Forest Park,40010,543533,207693,0.617883366787297,335840
136,135,30107,N,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,Irving Park (Blue Line),40550,False,False,True,False,False,False,False,False,False,False,"(41.952925, -87.729229)",41.952925000000000,-87.729229000000004,Irving Park-O'Hare,40550,1283807,496125,0.613551725454060,787682
137,136,30072,N,Washington (O'Hare-bound),Washington,Washington (Blue Line),40370,False,False,True,False,False,False,False,False,False,False,"(41.883164, -87.62944)",41.883164000000001,-87.629440000000002,Washington/Dearborn,40370,4176948,1195974,0.713672758195697,2980974
138,137,30055,W,Central (Harlem-bound),Central,Central (Green Line),40280,True,False,False,True,False,False,False,False,False,False,"(41.887389, -87.76565)",41.887388999999999,-87.765649999999994,Central-Lake,40280,592649,317326,0.464563341876895,275323
139,138,30048,E,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,Kedzie-Homan (Blue Line),40250,True,False,True,False,False,False,False,False,False,False,"(41.874341, -87.70604)",41.874341000000001,-87.706040000000002,Kedzie-Homan-Forest Park,40250,581826,288462,0.504212599643192,293364
140,139,30385,S,Wilson (Loop-bound),Wilson,Wilson (Red & Purple lines),40540,True,False,False,False,False,False,True,False,False,False,"(41.964273, -87.657588)",41.964272999999999,-87.657588000000004,Wilson,40540,2043387,857136,0.580531734810880,1186251
141,140,30177,N,63rd (Howard-bound),63rd,63rd (Red Line),40910,True,True,False,False,False,False,False,False,False,False,"(41.780536, -87.630952)",41.780535999999998,-87.630951999999994,63rd-Dan Ryan,40910,937730,452870,0.517057148646199,484860
142,141,30166,W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",40850,True,False,False,False,False,False,True,False,True,True,"(41.876862, -87.628196)",41.876862000000003,-87.628196000000003,Library,40850,1077009,376074,0.650816288443272,700935
143,142,30219,N,Kedzie (Loop-bound),Kedzie,Kedzie (Orange Line),41150,True,False,False,False,False,False,False,False,False,True,"(41.804236, -87.704406)",41.804236000000003,-87.704406000000006,Kedzie-Midway,41150,1009589,433671,0.570447974373730,575918
144,143,30135,E,Laramie (63rd-bound),Laramie,Laramie (Green Line),40700,True,False,False,True,False,False,False,False,False,False,"(41.887163, -87.754986)",41.887163000000001,-87.754986000000002,Laramie,40700,337121,169442,0.497385211837886,167679
